ville,temperature,precipitation,date,barrages,capacite_normal_mm3,reserve_mm3,taux_de_remplissage_percent,reserve_mm3_last_year,taux_de_remplissage_percent_last_year,region
TANGER,21,0,10/25/2021,TANGER - MEDITERRANEE,"22,0","17,5","79,6","12,6","57,2",Tanger-Tetouan-Al Hoceima
Ouarzazate,22,0,10/25/2021,MANSOUR EDDAHBI,"445,3","62,7","14,1","101,8","22,9",Draa-Tafilalet
TANGER,22,3.2,11/1/2021,TANGER - MEDITERRANEE,"22,0","17,5","79,4","12,5","56,9",Tanger-Tetouan-Al Hoceima
Ouarzazate,23,0,11/1/2021,MANSOUR EDDAHBI,"445,3","62,4","14,0","102,1","22,9",Draa-Tafilalet
TANGER,17,0,11/8/2021,TANGER - MEDITERRANEE,"22,0","17,5","79,3","12,5","56,7",Tanger-Tetouan-Al Hoceima
Ouarzazate,15,0,11/8/2021,MANSOUR EDDAHBI,"445,3","62,0","13,9","102,1","22,9",Draa-Tafilalet
TANGER,19,0,11/15/2021,TANGER - MEDITERRANEE,"22,0","17,4","78,9","12,4","56,2",Tanger-Tetouan-Al Hoceima
Ouarzazate,16,0,11/15/2021,MANSOUR EDDAHBI,"445,3","61,8","13,9","103,1","23,2",Draa-Tafilalet
TANGER,16,1.1,11/22/2021,TANGER - MEDITERRANEE,"22,0","17,5","79,7","12,3","55,9",Tanger-Tetouan-Al Hoceima
Ouarzazate,16,0,11/22/2021,MANSOUR EDDAHBI,"445,3","61,6","13,8","103,6","23,3",Draa-Tafilalet
TANGER,15,1.7,11/29/2021,TANGER - MEDITERRANEE,"22,0","17,6","79,8","12,3","55,8",Tanger-Tetouan-Al Hoceima
Ouarzazate,12,0,11/29/2021,MANSOUR EDDAHBI,"445,3","62,4","14,0","102,5","23,0",Draa-Tafilalet
TANGER,14,0,12/6/2021,TANGER - MEDITERRANEE,"22,0","17,5","79,6","12,3","55,7",Tanger-Tetouan-Al Hoceima
Ouarzazate,14,0,12/6/2021,MANSOUR EDDAHBI,"445,3","67,5","15,2","85,0","19,1",Draa-Tafilalet
TANGER,16,0,12/13/2021,TANGER - MEDITERRANEE,"22,0","17,5","79,3","12,3","55,6",Tanger-Tetouan-Al Hoceima
Ouarzazate,12,0.3,12/13/2021,MANSOUR EDDAHBI,"445,3","72,9","16,4","76,1","17,1",Draa-Tafilalet
TANGER,16,0,12/20/2021,TANGER - MEDITERRANEE,"22,0","17,4","79,1","12,2","55,6",Tanger-Tetouan-Al Hoceima
Ouarzazate,12,0,12/20/2021,MANSOUR EDDAHBI,"445,3","77,0","17,3","74,7","16,8",Draa-Tafilalet
TANGER,18,1,12/27/2021,TANGER - MEDITERRANEE,"22,0","17,5","79,4","12,2","55,6",Tanger-Tetouan-Al Hoceima
Ouarzazate,15,0,12/27/2021,MANSOUR EDDAHBI,"445,3","84,6","19,0","74,8","16,8",Draa-Tafilalet
TANGER,18,0,1/3/2022,TANGER - MEDITERRANEE,"22,0","17,5","79,4","12,3","55,8",Tanger-Tetouan-Al Hoceima
Ouarzazate,13,0,1/3/2022,MANSOUR EDDAHBI,"445,3","89,6","20,1","75,3","16,9",Draa-Tafilalet
TANGER,14,0,1/10/2022,TANGER - MEDITERRANEE,"22,0","17,5","79,5","13,1","59,4",Tanger-Tetouan-Al Hoceima
Ouarzazate,12,0,1/10/2022,MANSOUR EDDAHBI,"445,3","95,5","21,5","87,7","19,7",Draa-Tafilalet
