barrages,capacite_normal_mm3,reserve_mm3,taux_de_remplissage_percent,reserve_mm3_last_year,taux_de_remplissage_percent_last_year,date,ville,region
LALLA TAKERKOUST,"53,3","9,4","17,7","4,3","8,0",2021-08-16,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","6,7","12,5","3,9","7,3",2021-09-16,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","16,6","31,1","3,4","6,5",2021-03-17,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","8,3","15,5","3,6","6,7",2021-04-17,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","19,4","36,5","3,6","6,7",2021-05-17,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","8,2","15,4","3,2","6,1",2021-06-17,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","4,0","7,5","4,8","9,0",2021-07-17,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","9,3","17,5","4,2","7,9",2021-08-17,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","6,6","12,3","3,9","7,3",2021-09-17,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","16,6","31,1","3,4","6,5",2021-03-18,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","7,7","14,5","3,6","6,7",2021-04-18,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","19,3","36,3","3,6","6,7",2021-05-18,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","7,9","14,9","3,2","6,1",2021-06-18,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","7,5","14,1","4,8","9,0",2021-07-18,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","9,2","17,3","4,2","7,9",2021-08-18,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","6,5","12,1","3,8","7,2",2021-09-18,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","16,6","31,1","3,4","6,5",2021-03-19,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","7,5","14,1","3,6","6,7",2021-04-19,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","19,2","36,0","3,6","6,7",2021-05-19,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","7,7","14,4","3,2","5,9",2021-06-19,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","9,8","18,4","4,8","8,9",2021-07-19,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","9,2","17,2","4,2","7,9",2021-08-19,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","6,4","12,0","3,8","7,2",2021-09-19,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","5,2","9,7","3,6","6,8",2021-10-01,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","3,2","6,1","7,2","13,5",2022-03-01,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","15,4","28,9","3,6","6,7",2021-04-01,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","21,3","40,0","3,7","6,9",2021-05-01,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","14,3","26,9","3,5","6,5",2021-06-01,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","6,1","11,4","5,0","9,3",2021-07-01,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","9,7","18,3","4,4","8,3",2021-08-01,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","8,0","15,1","4,0","7,6",2021-09-01,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","16,5","30,9","3,4","6,5",2021-03-20,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","7,3","13,7","3,6","6,8",2021-04-20,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","19,1","35,8","3,6","6,7",2021-05-20,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","7,4","13,9","3,2","5,9",2021-06-20,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","10,4","19,6","4,8","8,9",2021-07-20,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","9,0","17,0","4,2","7,8",2021-08-20,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","6,3","11,8","3,8","7,2",2021-09-20,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","16,4","30,7","3,4","6,5",2021-03-21,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","7,1","13,3","3,6","6,8",2021-04-21,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","19,0","35,6","3,6","6,7",2021-05-21,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","7,2","13,5","3,1","5,9",2021-06-21,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","9,8","18,5","4,7","8,9",2021-07-21,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","9,0","16,9","4,2","7,8",2021-08-21,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","6,2","11,6","3,8","7,1",2021-09-21,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","16,3","30,6","3,4","6,5",2021-03-22,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","8,2","15,4","3,6","6,8",2021-04-22,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","18,8","35,4","3,6","6,7",2021-05-22,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","7,1","13,3","3,1","5,9",2021-06-22,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","9,3","17,5","4,7","8,9",2021-07-22,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","8,8","16,6","4,2","7,8",2021-08-22,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","6,1","11,4","3,8","7,1",2021-09-22,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","16,2","30,3","3,4","6,5",2021-03-23,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","6,5","12,2","3,6","6,8",2021-04-23,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","18,7","35,1","3,6","6,7",2021-05-23,Marrakech,Marrakech-Safi 
LALLA TAKERKOUST,"53,3","7,0","13,1","3,1","5,8",2021-06-23,Marrakech,Marrakech-Safi 
